subject_ID,time ,status,treatment 
a1,2,1,"StockA, 10^5"
a2,9,0,"StockA, 10^5"
a3,9,0,"StockA, 10^5"
a4,9,0,"StockA, 10^5"
a5,9,0,"StockA, 10^5"
b1,1,1,"StockA, 10^6"
b2,3,1,"StockA, 10^6"
b3,5,1,"StockA, 10^6"
b4,6,1,"StockA, 10^6"
b5,7,1,"StockA, 10^6"
f1,9,0,"Trial1,10^5"
f2,9,0,"Trial1,10^5"
f3,9,0,"Trial1,10^5"
f4,9,0,"Trial1,10^5"
f5,9,0,"Trial1,10^5"
f6,9,0,"Trial1,10^5"
f7,9,0,"Trial1,10^5"
f8,9,0,"Trial1,10^5"
f9,9,0,"Trial1,10^5"
f10,9,0,"Trial1,10^5"
e1,2,1,"Trial1,10^6"
e2,2,1,"Trial1,10^6"
e3,2,1,"Trial1,10^6"
e4,2,1,"Trial1,10^6"
e5,9,1,"Trial1,10^6"
e6,9,1,"Trial1,10^6"
e7,9,0,"Trial1,10^6"
e8,9,0,"Trial1,10^6"
e9,9,0,"Trial1,10^6"
e10,9,0,"Trial1,10^6"
